cost,description,maintanance_company,repairment_company,work_type,year,street_name_geocode,Latitude,Longitude,id,worktype_grouped
414000,Ремонт прибуд. території,,"СБУ ""Спецбуд""",Ремонт прибуд. території,2013,"Україна, Тернопіль, вулицяКиївська 1",49.5630889,25.6405484,62,Ремонт будинків
297000,Ремонт прибуд. території,,"ТзОВ""Техно-Буд-Центр""",Ремонт прибуд. території,2013,"Україна, Тернопіль, вулицяКарпенка 13",49.5423972,25.5792384,63,Ремонт будинків
140000,Ремонт прибуд. території,,КПМШРБ,Ремонт прибуд. території,2013,"Україна, Тернопіль, вулицяГалицька  37",49.5593722,25.6060732,64,Ремонт будинків
361000,Ремонт прибуд. території,,КПМШРБ,Ремонт прибуд. території,2013,"Україна, Тернопіль, проспектЗлуки  43",49.5585562,25.6302253,65,Ремонт будинків
410000,Ремонт прибуд. території,,КПМШРБ,Ремонт прибуд. території,2013,"Україна, Тернопіль, вулицяВолодимира Великого 6",49.5702203,25.6377753,66,Ремонт будинків
224240,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулиця М. Карпенка                           12",49.5412725,25.5807586,67,Ремонт будинків
120750,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, проспектСтепана Бандери 74",49.5494009,25.6232555,68,Ремонт будинків
82620,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулиця П.Чубинського                                             1",49.5557451,25.6255678,69,Ремонт будинків
149870,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяСлівенська                                   5",49.5482883,25.621487,70,Ремонт будинків
115130,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяРомана Купчинського               7",49.554436,25.6443829,71,Ремонт будинків
120450,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяЛеся Курбаса                                     6",49.5744696,25.64191,72,Ремонт будинків
277800,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, бульварТараса Шевченка                        4",49.5552557,25.5950085,73,Ремонт будинків
268400,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяНад Ставом 6",49.5512097,25.5861423,74,Ремонт будинків
86110,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяЧалдаєва 6",49.5598529,25.6294216,75,Ремонт будинків
133560,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяГенерала М.Тарнавського 18",49.564583,25.6334338,76,Ремонт будинків
86820,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулиця15 Квітня                                  15",49.5627836,25.6450689,77,Ремонт будинків
132660,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяМ.Карпенка 3",49.5415493,25.5767507,78,Ремонт будинків
121570,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, бульварС. Петлюри 7",49.558514,25.6447704,79,Ремонт будинків
103750,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяВолодимира Великого 7",49.5702203,25.6377753,80,Ремонт будинків
47600,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, проспектСтепана Бандери 106",49.5459856,25.6325566,81,Ремонт будинків
85650,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяКиївська 1",49.5630889,25.6405484,82,Ремонт будинків
